Time,y,x1,x2,x3,x4,x5
10-Jan,124.8552632,1.1304,1.885,6.8269,46.125,90.31
11-Jan,181.75,1.0031,1.6675,6.6049,45.825,82.08
12-Jan,141.4404762,0.9421,1.7472,6.309,49.515,76.23
13-Jan,150.8636364,0.9589,1.9908,6.2188,53.275,91.72
14-Jan,127.9204545,1.1421,2.4127,6.061,62.685,102.03
15-Jan,67.57142857,1.2873,2.6824,6.25,62.02,117.45
16-Jan,41.5775,1.4115,3.9988,6.5761,67.878,121.06
17-Jan,80.8875,1.3183,3.1509,6.8816,67.515,112.8
18-Jan,75.86363636,1.2414,3.1859,6.2888,63.55,109.19
19-Jan,76.02954545,1.3744,3.644,6.7008,70.96,108.88
20-Jan,94.74666667,1.4943,4.2824,6.9367,71.555,108.39
10-Feb,126.65,1.1169,1.8072,6.8261,46.105,88.87
11-Feb,188.9166667,0.9818,1.6638,6.5716,45.265,81.78
12-Feb,141.9880952,0.9315,1.7174,6.2938,49.11,81.22
13-Feb,154.7647059,0.9789,1.9803,6.2214,54.37,92.56
14-Feb,121.2375,1.12,2.3384,6.1451,61.795,101.81
15-Feb,62.85714286,1.2802,2.839,6.2696,61.659,119.54
16-Feb,46.74736842,1.4002,4.0171,6.554,68.208,112.69
17-Feb,88.715,1.3058,3.1091,6.8678,66.725,112.78
18-Feb,77.13461538,1.2884,3.2462,6.3311,65.21,106.67
19-Feb,86.71,1.4094,3.7514,6.6941,70.84,111.39
20-Feb,86.4625,1.5361,4.4736,6.992,72.539,108.08
10-Mar,141.5,1.0908,1.7836,6.8259,44.825,93.47
11-Mar,171.5543478,0.9682,1.632,6.5486,44.535,83.16
12-Mar,146.5454545,0.9666,1.8264,6.298,50.875,82.81
13-Mar,139.925,0.9598,2.0242,6.2108,54.285,94.22
14-Mar,111.7386364,1.0794,2.2721,6.2172,60.015,103.22
15-Mar,57.03409091,1.3147,3.1958,6.1995,62.291,120.14
16-Mar,54.1,1.3058,3.5935,6.449,66.255,112.58
17-Mar,86.77916667,1.3109,3.1233,6.8871,64.86,111.39
18-Mar,69.6952381,1.3022,3.3051,6.2753,65.115,106.28
19-Mar,85.7047619,1.4091,3.9247,6.712,69.185,110.86
20-Mar,88.01590909,1.6298,5.2053,7.0825,75.343,107.54
