"日期","收盘","开盘","高","低","涨跌幅"
"2020年8月","1.3928","1.3999","1.4130","1.3807","-0.51%"
"2020年7月","1.4000","1.4487","1.4542","1.3834","-3.36%"
"2020年6月","1.4487","1.5022","1.5048","1.4159","-3.42%"
"2020年5月","1.5000","1.5359","1.5695","1.4960","-2.34%"
"2020年4月","1.5359","1.6306","1.6724","1.5220","-5.76%"
"2020年3月","1.6298","1.5414","1.8159","1.4956","6.10%"
"2020年2月","1.5361","1.4947","1.5542","1.4758","2.80%"
"2020年1月","1.4943","1.4241","1.4963","1.4221","4.92%"
"2019年12月","1.4242","1.4783","1.4803","1.4216","-3.65%"
"2019年11月","1.4782","1.4505","1.4806","1.4430","1.91%"
"2019年10月","1.4505","1.4815","1.4990","1.4428","-2.11%"
"2019年9月","1.4818","1.4875","1.4957","1.4505","-0.18%"
"2019年8月","1.4844","1.4609","1.4977","1.4557","1.60%"
"2019年7月","1.4610","1.4220","1.4636","1.4115","2.57%"
"2019年6月","1.4244","1.4421","1.4638","1.4234","-1.14%"
"2019年5月","1.4408","1.4189","1.4572","1.4161","1.56%"
"2019年4月","1.4186","1.4051","1.4310","1.3874","0.67%"
"2019年3月","1.4091","1.4099","1.4283","1.3950","-0.02%"
"2019年2月","1.4094","1.3750","1.4178","1.3725","2.55%"
"2019年1月","1.3744","1.4188","1.4756","1.3704","-3.08%"
"2018年12月","1.4181","1.3575","1.4256","1.3526","3.77%"
"2018年11月","1.3666","1.4141","1.4145","1.3614","-3.33%"
"2018年10月","1.4137","1.3825","1.4244","1.3811","2.22%"
"2018年9月","1.3830","1.3892","1.4119","1.3672","-0.48%"
"2018年8月","1.3897","1.3466","1.3939","1.3416","3.24%"
"2018年7月","1.3461","1.3509","1.3680","1.3360","-0.33%"
"2018年6月","1.3505","1.3215","1.3657","1.3026","2.21%"
"2018年5月","1.3213","1.3273","1.3493","1.3147","-0.50%"
"2018年4月","1.3280","1.3004","1.3289","1.2796","1.98%"
"2018年3月","1.3022","1.2885","1.3083","1.2630","1.07%"
"2018年2月","1.2884","1.2413","1.2889","1.2393","3.79%"
"2018年1月","1.2414","1.2817","1.2829","1.2289","-3.14%"
"2017年12月","1.2817","1.3212","1.3332","1.2776","-3.02%"
"2017年11月","1.3216","1.3059","1.3276","1.2934","1.19%"
"2017年10月","1.3060","1.2745","1.3116","1.2661","2.31%"
"2017年9月","1.2765","1.2584","1.2823","1.2305","1.44%"
"2017年8月","1.2584","1.2495","1.2808","1.2429","0.71%"
"2017年7月","1.2495","1.3014","1.3209","1.2393","-3.91%"
"2017年6月","1.3003","1.3467","1.3571","1.2968","-3.38%"
