"日期","收盘","开盘","高","低","涨跌幅"
"2020年8月","6.9420","6.9817","6.9868","6.9311","-0.47%"
"2020年7月","6.9752","7.0675","7.0743","6.9646","-1.28%"
"2020年6月","7.0655","7.1151","7.1400","7.0511","-1.01%"
"2020年5月","7.1372","7.0622","7.1800","7.0622","1.06%"
"2020年4月","7.0622","7.0825","7.1283","7.0275","-0.29%"
"2020年3月","7.0825","6.9742","7.1270","6.9094","1.29%"
"2020年2月","6.9920","6.9378","7.0439","6.9378","0.80%"
"2020年1月","6.9367","6.9595","6.9789","6.8402","-0.38%"
"2019年12月","6.9632","7.0269","7.0748","6.9556","-0.98%"
"2019年11月","7.0324","7.0396","7.0504","6.9687","-0.10%"
"2019年10月","7.0395","7.1318","7.1531","7.0324","-1.52%"
"2019年9月","7.1483","7.1550","7.1851","7.0618","-0.12%"
"2019年8月","7.1568","6.8847","7.1729","6.8847","3.96%"
"2019年7月","6.8841","6.8651","6.8960","6.8319","0.25%"
"2019年6月","6.8668","6.9053","6.9372","6.8340","-0.55%"
"2019年5月","6.9050","6.7362","6.9216","6.7339","2.53%"
"2019年4月","6.7349","6.7114","6.7485","6.6831","0.34%"
"2019年3月","6.7120","6.6936","6.7406","6.6693","0.27%"
"2019年2月","6.6941","6.7012","6.7972","6.6748","-0.10%"
"2019年1月","6.7008","6.8658","6.8877","6.6955","-2.58%"
"2018年12月","6.8785","6.9272","6.9365","6.8338","-1.18%"
"2018年11月","6.9605","6.9704","6.9743","6.8723","-0.22%"
"2018年10月","6.9756","6.9040","6.9783","6.8891","1.55%"
"2018年9月","6.8689","6.8415","6.8919","6.8055","0.55%"
"2018年8月","6.8315","6.8237","6.9346","6.7900","0.28%"
"2018年7月","6.8127","6.6358","6.8478","6.6069","2.90%"
"2018年6月","6.6210","6.4113","6.6429","6.3867","3.29%"
"2018年5月","6.4103","6.3533","6.4337","6.3254","1.22%"
"2018年4月","6.3332","6.2680","6.3472","6.2614","0.92%"
"2018年3月","6.2753","6.3305","6.3628","6.2437","-0.88%"
"2018年2月","6.3311","6.2961","6.3656","6.2550","0.67%"
"2018年1月","6.2888","6.4987","6.5393","6.2882","-3.35%"
"2017年12月","6.5066","6.6079","6.6234","6.5027","-1.61%"
"2017年11月","6.6128","6.6365","6.6548","6.5754","-0.33%"
"2017年10月","6.6349","6.6554","6.6637","6.5712","-0.28%"
"2017年9月","6.6534","6.5889","6.6821","6.4347","0.96%"
"2017年8月","6.5899","6.7251","6.7322","6.5808","-2.03%"
"2017年7月","6.7265","6.7783","6.8097","6.7232","-0.80%"
"2017年6月","6.7809","6.8023","6.8456","6.7614","-0.43%"
"2017年5月","6.8101","6.8902","6.9084","6.8101","-1.21%"
"2017年4月","6.8935","6.8867","6.9143","6.8765","0.09%"
"2017年3月","6.8871","6.8770","6.9244","6.8674","0.28%"
"2017年2月","6.8678","6.8666","6.8929","6.8482","-0.20%"
"2017年1月","6.8816","6.9582","6.9652","6.8338","-0.91%"
"2016年12月","6.9450","6.8920","6.9612","6.8643","0.85%"
"2016年11月","6.8868","6.7767","6.9242","6.7565","1.64%"
"2016年10月","6.7758","6.6701","6.7892","6.6701","1.56%"
"2016年9月","6.6716","6.6807","6.6901","6.6589","-0.12%"
"2016年8月","6.6793","6.6307","6.6823","6.6152","0.63%"
"2016年7月","6.6373","6.6461","6.7036","6.6361","-0.16%"
"2016年6月","6.6480","6.5858","6.6563","6.5545","0.99%"
"2016年5月","6.5829","6.4751","6.5889","6.4728","1.68%"
"2016年4月","6.4741","6.4596","6.5088","6.4553","0.39%"
"2016年3月","6.4490","6.5448","6.5543","6.4480","-1.60%"
"2016年2月","6.5540","6.5753","6.5828","6.4885","-0.34%"
"2016年1月","6.5761","6.5077","6.5953","6.5077","1.27%"
"2015年12月","6.4936","6.3979","6.4950","6.3905","1.49%"
"2015年11月","6.3982","6.3187","6.3983","6.3171","1.27%"
"2015年10月","6.3181","6.3560","6.3685","6.3158","-0.61%"
"2015年9月","6.3571","6.3775","6.3871","6.3510","-0.30%"
"2015年8月","6.3764","6.2098","6.4490","6.2079","2.68%"
"2015年7月","6.2097","6.2001","6.2111","6.1993","0.14%"
"2015年6月","6.2010","6.1984","6.2151","6.1936","0.04%"
"2015年5月","6.1983","6.2063","6.2103","6.1918","-0.07%"
"2015年4月","6.2028","6.2005","6.2213","6.1889","0.05%"
"2015年3月","6.1995","6.2733","6.2765","6.1790","-1.12%"
"2015年2月","6.2696","6.2496","6.2698","6.2361","0.31%"
"2015年1月","6.2500","6.2178","6.2558","6.1875","0.71%"
"2014年12月","6.2061","6.1444","6.2356","6.1444","1.02%"
"2014年11月","6.1432","6.1169","6.1490","6.1102","0.50%"
"2014年10月","6.1127","6.1387","6.1395","6.1075","-0.42%"
"2014年9月","6.1385","6.1442","6.1538","6.1243","-0.08%"
"2014年8月","6.1433","6.1741","6.1825","6.1358","-0.50%"
"2014年7月","6.1740","6.2033","6.2161","6.1699","-0.48%"
"2014年6月","6.2038","6.2472","6.2567","6.1988","-0.71%"
"2014年5月","6.2479","6.2528","6.2631","6.2187","-0.18%"
"2014年4月","6.2594","6.2166","6.2671","6.1853","0.68%"
"2014年3月","6.2172","6.1450","6.2329","6.1003","1.17%"
"2014年2月","6.1451","6.0625","6.1720","6.0575","1.39%"
"2014年1月","6.0610","6.0519","6.0610","6.0404","0.12%"
"2013年12月","6.0540","6.0926","6.0937","6.0499","-0.64%"
"2013年11月","6.0932","6.0955","6.1033","6.0878","-0.02%"
"2013年10月","6.0945","6.1202","6.1214","6.0801","-0.44%"
"2013年9月","6.1215","6.1208","6.1235","6.1150","0.03%"
"2013年8月","6.1195","6.1291","6.1323","6.1096","-0.15%"
"2013年7月","6.1289","6.1343","6.1426","6.1248","-0.14%"
"2013年6月","6.1376","6.1352","6.1517","6.1228","0.05%"
"2013年5月","6.1348","6.1651","6.1722","6.1204","-0.49%"
"2013年4月","6.1650","6.2109","6.2109","6.1609","-0.74%"
"2013年3月","6.2108","6.2217","6.2295","6.2079","-0.17%"
"2013年2月","6.2214","6.2212","6.2449","6.2202","0.04%"
"2013年1月","6.2188","6.2300","6.2321","6.2126","-0.18%"
"2012年12月","6.2303","6.2280","6.2563","6.2234","0.06%"
"2012年11月","6.2267","6.2374","6.2482","6.2207","-0.17%"
"2012年10月","6.2373","6.2840","6.2897","6.2366","-0.75%"
"2012年9月","6.2845","6.3481","6.3546","6.2837","-1.01%"
"2012年8月","6.3485","6.3611","6.3775","6.3438","-0.21%"
"2012年7月","6.3620","6.3544","6.3974","6.3461","0.13%"
"2012年6月","6.3537","6.3692","6.3792","6.3525","-0.24%"
"2012年5月","6.3688","6.3094","6.3783","6.2949","0.93%"
"2012年4月","6.3099","6.2980","6.3270","6.2932","0.19%"
"2012年3月","6.2980","6.2940","6.3471","6.2845","0.07%"
"2012年2月","6.2938","6.3079","6.3140","6.2880","-0.24%"
"2012年1月","6.3090","6.2945","6.3393","6.2923","0.24%"
"2011年12月","6.2939","6.3789","6.3789","6.2939","-1.33%"
"2011年11月","6.3788","6.3543","6.3872","6.3331","0.37%"
"2011年10月","6.3552","6.3750","6.3915","6.3368","-0.42%"
"2011年9月","6.3822","6.3812","6.4043","6.3788","0.05%"
"2011年8月","6.3790","6.4370","6.4461","6.3775","-0.90%"
"2011年7月","6.4370","6.4640","6.4760","6.4370","-0.42%"
"2011年6月","6.4642","6.4783","6.4878","6.4618","-0.24%"
"2011年5月","6.4795","6.4900","6.5100","6.4785","-0.18%"
"2011年4月","6.4910","6.5485","6.5510","6.4755","-0.88%"
"2011年3月","6.5486","6.5653","6.5773","6.5443","-0.35%"
"2011年2月","6.5716","6.5998","6.5998","6.5493","-0.50%"
"2011年1月","6.6049","6.5927","6.6399","6.5773","0.22%"
"2010年12月","6.5906","6.6675","6.6806","6.5891","-1.15%"
"2010年11月","6.6670","6.6696","6.6963","6.6178","-0.06%"
"2010年10月","6.6707","6.6895","6.6925","6.6398","-0.31%"
"2010年9月","6.6917","6.8083","6.8187","6.6828","-1.70%"
"2010年8月","6.8075","6.7741","6.8120","6.7634","0.49%"
"2010年7月","6.7740","6.7810","6.7840","6.7677","-0.11%"
"2010年6月","6.7817","6.8272","6.8331","6.7797","-0.68%"
"2010年5月","6.8278","6.8246","6.8323","6.8236","0.04%"
"2010年4月","6.8252","6.8257","6.8305","6.8230","-0.01%"
"2010年3月","6.8259","6.8254","6.8305","6.8248","-0.00%"
"2010年2月","6.8261","6.8263","6.8349","6.8223","-0.01%"
"2010年1月","6.8269","6.8285","6.8296","6.8233","-0.00%"
