"日期","收盘","开盘","高","低","涨跌幅"
"2020年8月","74.874","74.918","75.309","74.522","-0.06%"
"2020年7月","74.918","75.525","75.625","74.488","-0.83%"
"2020年6月","75.545","75.470","76.400","74.973","-0.08%"
"2020年5月","75.605","75.319","76.145","75.038","0.70%"
"2020年4月","75.080","75.320","77.010","74.909","-0.35%"
"2020年3月","75.343","72.527","76.385","72.026","3.87%"
"2020年2月","72.539","71.525","72.574","71.090","1.38%"
"2020年1月","71.555","71.375","72.135","70.687","0.28%"
"2019年12月","71.355","71.785","71.825","70.505","-0.55%"
"2019年11月","71.749","70.973","72.243","70.553","1.08%"
"2019年10月","70.980","70.647","71.722","70.647","0.47%"
"2019年9月","70.645","71.455","72.407","70.352","-1.13%"
"2019年8月","71.453","69.257","72.257","68.992","3.74%"
"2019年7月","68.875","68.954","69.156","68.285","-0.11%"
"2019年6月","68.950","69.612","69.982","68.866","-0.91%"
"2019年5月","69.580","69.589","70.651","69.089","-0.10%"
"2019年4月","69.647","69.352","70.336","68.391","0.67%"
"2019年3月","69.185","70.806","70.995","68.350","-2.34%"
"2019年2月","70.840","71.110","71.845","70.402","-0.17%"
"2019年1月","70.960","69.640","71.537","69.243","2.00%"
"2018年12月","69.570","69.880","72.637","69.570","-0.11%"
"2018年11月","69.650","73.860","73.877","69.570","-5.83%"
"2018年10月","73.960","72.610","74.490","72.610","2.00%"
"2018年9月","72.510","70.795","72.990","70.730","2.12%"
"2018年8月","71.005","68.555","71.025","68.265","3.72%"
"2018年7月","68.460","68.495","69.132","68.280","0.00%"
"2018年6月","68.460","67.460","69.100","66.840","1.53%"
"2018年5月","67.430","66.460","68.485","66.450","1.46%"
"2018年4月","66.460","65.120","66.980","64.855","2.07%"
"2018年3月","65.115","65.205","65.295","64.727","-0.15%"
"2018年2月","65.210","63.650","65.320","63.560","2.61%"
"2018年1月","63.550","63.860","64.130","63.250","-0.45%"
"2017年12月","63.840","64.505","64.730","63.790","-1.01%"
"2017年11月","64.490","64.710","65.550","64.280","-0.40%"
"2017年10月","64.750","65.600","65.642","64.695","-0.86%"
"2017年9月","65.310","63.925","65.895","63.780","2.15%"
"2017年8月","63.935","64.105","64.328","63.565","-0.41%"
"2017年7月","64.200","64.680","64.935","64.075","-0.65%"
"2017年6月","64.620","64.488","64.840","64.167","0.17%"
"2017年5月","64.510","64.275","65.025","63.985","0.34%"
"2017年4月","64.290","64.820","65.190","63.940","-0.88%"
"2017年3月","64.860","66.700","66.900","64.800","-2.80%"
"2017年2月","66.725","67.675","67.710","66.615","-1.17%"
"2017年1月","67.515","67.970","68.516","67.455","-0.65%"
"2016年12月","67.955","68.595","68.598","67.318","-0.94%"
"2016年11月","68.598","66.685","68.881","66.227","2.87%"
"2016年10月","66.686","66.556","67.005","66.373","0.20%"
"2016年9月","66.556","66.962","67.148","66.260","-0.62%"
"2016年8月","66.973","66.720","67.370","66.570","0.48%"
"2016年7月","66.655","67.524","67.571","66.625","-1.26%"
"2016年6月","67.504","67.207","68.222","66.451","0.44%"
"2016年5月","67.209","66.425","67.780","66.235","1.18%"
"2016年4月","66.425","66.355","66.852","66.024","0.26%"
"2016年3月","66.255","68.201","68.355","66.125","-2.86%"
"2016年2月","68.208","67.878","68.909","67.495","0.49%"
"2016年1月","67.878","66.209","68.265","66.130","2.52%"
"2015年12月","66.208","66.462","67.180","65.946","-0.38%"
"2015年11月","66.462","65.413","66.945","65.330","1.59%"
"2015年10月","65.423","65.524","65.700","64.639","-0.14%"
"2015年9月","65.517","66.398","66.913","65.480","-1.35%"
"2015年8月","66.412","63.996","66.910","63.650","3.79%"
"2015年7月","63.988","63.609","64.270","63.254","0.60%"
"2015年6月","63.604","63.733","64.330","63.420","-0.22%"
"2015年5月","63.743","63.531","64.390","63.310","0.34%"
"2015年4月","63.529","62.291","63.780","61.930","1.99%"
"2015年3月","62.291","61.712","63.140","61.659","1.02%"
"2015年2月","61.659","62.005","62.540","61.565","-0.58%"
"2015年1月","62.020","63.180","63.630","61.265","-1.61%"
"2014年12月","63.035","62.055","63.885","61.765","1.33%"
