"日期","收盘","开盘","高","低","涨跌幅"
"2020年8月","106.47","105.89","107.06","105.31","0.54%"
"2020年7月","105.89","107.93","108.17","104.18","-1.89%"
"2020年6月","107.93","107.74","109.86","106.07","0.14%"
"2020年5月","107.79","107.18","108.09","105.98","0.56%"
"2020年4月","107.18","107.54","109.39","106.36","-0.33%"
"2020年3月","107.54","107.39","111.72","101.18","-0.50%"
"2020年2月","108.08","108.42","112.22","107.50","-0.29%"
"2020年1月","108.39","108.62","110.30","107.64","-0.21%"
"2019年12月","108.62","109.53","109.73","108.42","-0.82%"
"2019年11月","109.52","108.06","109.67","107.88","1.38%"
"2019年10月","108.03","108.08","109.30","106.48","-0.05%"
"2019年9月","108.08","106.26","108.49","105.74","1.66%"
"2019年8月","106.31","108.80","109.33","104.45","-2.24%"
"2019年7月","108.75","108.11","109.00","107.22","0.80%"
"2019年6月","107.89","108.38","108.81","106.78","-0.36%"
"2019年5月","108.28","111.44","111.69","108.28","-2.82%"
"2019年4月","111.42","110.81","112.41","110.81","0.51%"
"2019年3月","110.86","111.39","112.14","109.72","-0.48%"
"2019年2月","111.39","108.89","111.50","108.72","2.31%"
"2019年1月","108.88","109.57","110.00","104.97","-0.64%"
"2018年12月","109.58","113.47","113.86","109.55","-3.43%"
"2018年11月","113.47","112.94","114.22","112.31","0.47%"
"2018年10月","112.94","113.69","114.55","111.37","-0.66%"
"2018年9月","113.69","111.08","113.72","110.39","2.39%"
"2018年8月","111.04","111.88","112.16","109.78","-0.75%"
"2018年7月","111.88","110.69","113.17","110.28","1.08%"
"2018年6月","110.68","108.82","110.95","108.72","1.71%"
"2018年5月","108.82","109.34","111.40","108.11","-0.47%"
"2018年4月","109.33","106.25","109.53","105.64","2.87%"
"2018年3月","106.28","106.67","107.31","104.56","-0.37%"
"2018年2月","106.67","109.19","110.47","105.53","-2.31%"
"2018年1月","109.19","112.67","113.39","108.28","-3.11%"
"2017年12月","112.69","112.53","113.75","111.42","0.14%"
"2017年11月","112.53","113.64","114.73","110.84","-0.98%"
"2017年10月","113.64","112.56","114.45","111.66","1.02%"
"2017年9月","112.49","109.98","113.27","107.33","2.29%"
"2017年8月","109.97","110.25","111.06","108.27","-0.25%"
"2017年7月","110.25","112.12","114.50","110.19","-1.90%"
"2017年6月","112.38","110.78","112.95","108.84","1.44%"
"2017年5月","110.78","111.31","114.39","110.23","-0.69%"
"2017年4月","111.55","111.39","111.78","108.12","0.14%"
"2017年3月","111.39","112.78","115.52","110.11","-1.23%"
"2017年2月","112.78","112.82","114.98","111.60","-0.02%"
"2017年1月","112.80","116.92","118.61","112.06","-3.50%"
"2016年12月","116.89","114.47","118.69","112.86","2.11%"
"2016年11月","114.47","104.83","114.56","101.17","9.21%"
"2016年10月","104.82","101.36","105.54","101.20","3.43%"
"2016年9月","101.34","103.42","104.33","100.08","-2.01%"
"2016年8月","103.42","102.06","103.53","99.53","1.33%"
"2016年7月","102.06","103.27","107.48","100.03","-1.19%"
"2016年6月","103.29","110.72","110.85","99.12","-6.70%"
"2016年5月","110.71","106.30","111.46","105.55","4.09%"
"2016年4月","106.36","112.58","112.59","106.28","-5.52%"
"2016年3月","112.58","112.69","114.56","110.67","-0.10%"
"2016年2月","112.69","121.13","121.50","111.01","-6.91%"
"2016年1月","121.06","120.30","121.70","115.98","0.62%"
"2015年12月","120.32","123.10","123.68","120.00","-2.26%"
"2015年11月","123.10","120.65","123.69","120.26","2.06%"
"2015年10月","120.62","119.86","121.53","118.06","0.63%"
"2015年9月","119.86","121.22","121.34","118.67","-1.12%"
"2015年8月","121.22","124.00","125.28","116.47","-2.19%"
"2015年7月","123.94","122.48","124.60","120.40","1.18%"
"2015年6月","122.50","124.11","125.86","121.93","-1.32%"
"2015年5月","124.14","119.41","124.50","118.89","4.00%"
"2015年4月","119.36","120.12","120.86","118.50","-0.65%"
"2015年3月","120.14","119.56","122.03","118.31","0.50%"
"2015年2月","119.54","117.48","120.51","116.68","1.78%"
"2015年1月","117.45","119.69","120.75","115.83","-1.87%"
"2014年12月","119.69","118.69","121.86","115.58","0.89%"
"2014年11月","118.64","112.49","118.99","112.44","5.62%"
"2014年10月","112.33","109.66","112.50","105.20","2.43%"
"2014年9月","109.66","104.05","109.86","104.05","5.36%"
"2014年8月","104.08","102.81","104.45","101.52","1.25%"
"2014年7月","102.80","101.33","103.08","101.05","1.45%"
"2014年6月","101.33","101.83","102.81","101.23","-0.44%"
"2014年5月","101.78","102.22","103.03","100.81","-0.47%"
"2014年4月","102.26","103.21","104.14","101.33","-0.93%"
"2014年3月","103.22","101.56","103.78","101.19","1.38%"
"2014年2月","101.81","102.03","102.83","100.75","-0.22%"
"2014年1月","102.03","105.28","105.44","101.78","-3.11%"
"2013年12月","105.31","102.44","105.42","101.62","2.80%"
"2013年11月","102.44","98.36","102.64","97.67","4.15%"
"2013年10月","98.36","98.19","99.00","96.56","0.13%"
"2013年9月","98.23","98.36","100.62","97.50","0.06%"
"2013年8月","98.17","97.88","99.95","95.81","0.30%"
"2013年7月","97.88","99.27","101.55","97.58","-1.27%"
"2013年6月","99.14","100.36","100.73","93.80","-1.33%"
"2013年5月","100.48","97.44","103.75","97.06","3.14%"
"2013年4月","97.42","94.19","99.95","92.56","3.40%"
"2013年3月","94.22","92.57","96.74","92.44","1.79%"
"2013年2月","92.56","91.72","94.79","90.95","0.92%"
"2013年1月","91.72","86.72","91.78","86.52","5.73%"
"2012年12月","86.75","82.36","86.80","81.69","5.18%"
"2012年11月","82.48","79.79","82.85","79.09","3.40%"
"2012年10月","79.77","77.90","80.37","77.78","2.37%"
"2012年9月","77.92","78.39","79.23","77.13","-0.60%"
"2012年8月","78.39","78.11","79.67","77.92","0.33%"
"2012年7月","78.13","79.91","80.11","77.97","-2.10%"
"2012年6月","79.81","78.39","80.62","77.69","1.85%"
"2012年5月","78.36","79.80","80.61","78.22","-1.80%"
"2012年4月","79.80","83.00","83.30","79.72","-3.63%"
"2012年3月","82.81","81.17","84.19","80.58","1.96%"
"2012年2月","81.22","76.23","81.61","76.00","6.55%"
"2012年1月","76.23","76.97","78.32","76.17","-0.95%"
"2011年12月","76.96","77.59","78.24","76.90","-0.70%"
"2011年11月","77.50","78.14","78.61","76.56","-0.90%"
"2011年10月","78.20","77.14","79.52","75.56","1.48%"
"2011年9月","77.06","76.69","77.88","76.11","0.59%"
"2011年8月","76.61","77.43","80.26","75.95","-0.18%"
"2011年7月","76.75","80.53","81.50","76.75","-4.69%"
"2011年6月","80.53","81.50","81.53","79.68","-1.24%"
"2011年5月","81.54","81.13","82.25","79.57","0.38%"
"2011年4月","81.23","83.22","85.56","81.04","-2.32%"
"2011年3月","83.16","81.81","83.30","76.26","1.69%"
"2011年2月","81.78","82.07","84.00","81.11","-0.37%"
"2011年1月","82.08","81.19","83.68","80.95","1.12%"
"2010年12月","81.17","83.69","84.53","80.94","-3.01%"
"2010年11月","83.69","80.31","84.42","80.24","4.10%"
"2010年10月","80.39","83.50","83.98","80.38","-3.69%"
"2010年9月","83.47","84.17","85.94","82.86","-0.83%"
"2010年8月","84.17","86.39","86.89","83.58","-2.66%"
"2010年7月","86.47","88.37","89.17","85.95","-2.19%"
"2010年6月","88.41","91.20","92.91","88.28","-3.11%"
"2010年5月","91.25","93.92","94.98","88.00","-2.75%"
"2010年4月","93.83","93.45","94.78","91.61","0.39%"
"2010年3月","93.47","88.83","93.64","88.11","5.18%"
"2010年2月","88.87","89.81","92.16","88.56","-1.59%"
"2010年1月","90.31","92.98","93.78","89.12","-2.81%"
